"input_region","input_sector","input_num","output_region","output_sector","value","output_num","input_label","output_label"
"EU","Animal Farming",2,"EU","Manufacture.of.glass.and.glass.products",3.18309890230028e-05,21,"Animal Farming","Glass"
"EU","Animal Farming",2,"EU","Re-processing.of.secondary.glass.into.new.glass",3.52510095630268e-05,22,"Animal Farming","Glass Re-processing"
"EU","Animal Farming",2,"EU","Manufacture.of.other.non-metallic.mineral.products",6.01192787704449e-05,23,"Animal Farming","Other Non-metallic Mineral Products"
"EU","Animal Farming",2,"EU","Manufacture.of.cement,.lime.and.plaster",6.35532100725111e-05,24,"Animal Farming","Cement"
"EU","Animal Farming",2,"EU","Re-processing.of.ash.into.clinker",5.56695998938532e-05,25,"Animal Farming","Clinker Re-processing"
"EU","Animal Farming",2,"EU","Manufacture.of.Metals",6.00306687161534e-05,26,"Animal Farming","Metals"
"EU","Animal Farming",2,"EU","Re-processing.of.Metals",4.76826275740452e-05,27,"Animal Farming","Metals Re-processing"
"EU","Animal Farming",2,"EU","Manufacture.of.durable.goods",7.00841974644972e-05,28,"Animal Farming","Durable Goods"
"EU","Animal Farming",2,"EU","Manufacture.of.furniture;.manufacturing.n.e.c..(36)",7.76139464604586e-05,29,"Animal Farming","Furniture"
"EU","Animal Farming",2,"EU","Recycling",6.94964305594e-05,30,"Animal Farming","Recycling"
"EU","Animal Farming",2,"EU","Production.of.electricity.by.fossil.fuels",0.000105358767133335,31,"Animal Farming","Fossil-Fuel Electricity"
"EU","Animal Farming",2,"EU","Production.of.electricity.by.renewable.energy",9.25970885890271e-05,32,"Animal Farming","Renewable Electricity"
"EU","Animal Farming",2,"EU","Transmission.&.Distribution",0.000177765806968493,33,"Animal Farming","Energy Transmission, Distribution"
"EU","Animal Farming",2,"EU","Manufacture.of.gas;.distribution.of.gaseous.fuels.through.mains",7.16028515714611e-05,34,"Animal Farming","Gas"
"EU","Animal Farming",2,"EU","Water",5.70732153516065e-05,35,"Animal Farming","Water"
"EU","Animal Farming",2,"EU","Construction.(45)",6.28607629813475e-05,36,"Animal Farming","Construction"
