,,,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,,,,
,,,Agriculture,Animal Farming,"Forestry, logging and related service activities (02)","Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",Extraction of Fossil-Fuels,Mining & Quarrying of raw materials,Processing of meat,Processing of other food&beverage,Manufacture of tobacco products (16),Manufacture of textiles,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",Re-processing of secondary wood material into new wood material,Pulp,Re-processing of secondary paper into new pulp,Paper,Processing of Fossil Fuels,"Plastics, basic",Re-processing of secondary plastic into new plastic,Manufacture of Chemicals,Manufacture of rubber and plastic products (25),Manufacture of glass and glass products,Re-processing of secondary glass into new glass,Manufacture of other non-metallic mineral products,"Manufacture of cement, lime and plaster",Re-processing of ash into clinker,Manufacture of Metals,Re-processing of Metals,Manufacture of durable goods,Manufacture of furniture; manufacturing n.e.c. (36),Recycling,Production of electricity by fossil fuels,Production of electricity by renewable energy,Transmission & Distribution,Manufacture of gas; distribution of gaseous fuels through mains,Water,Construction (45),Re-processing of secondary construction material into aggregates,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",Retail sale of automotive fuel,Retail & Wholesale trade,Leisure Services,Transport,KIBS,Real estate activities (70),Renting of machinery and equipment without operator and of personal and household goods (71),Research and development (73),Public administration and defence; compulsory social security (75),Education (80),Health and social work (85),Incineration of Waste,Biogas & Composting,Waste water,Landfill of Waste,Other Services,Agriculture,Animal Farming,"Forestry, logging and related service activities (02)","Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",Extraction of Fossil-Fuels,Mining & Quarrying of raw materials,Processing of meat,Processing of other food&beverage,Manufacture of tobacco products (16),Manufacture of textiles,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",Re-processing of secondary wood material into new wood material,Pulp,Re-processing of secondary paper into new pulp,Paper,Processing of Fossil Fuels,"Plastics, basic",Re-processing of secondary plastic into new plastic,Manufacture of Chemicals,Manufacture of rubber and plastic products (25),Manufacture of glass and glass products,Re-processing of secondary glass into new glass,Manufacture of other non-metallic mineral products,"Manufacture of cement, lime and plaster",Re-processing of ash into clinker,Manufacture of Metals,Re-processing of Metals,Manufacture of durable goods,Manufacture of furniture; manufacturing n.e.c. (36),Recycling,Production of electricity by fossil fuels,Production of electricity by renewable energy,Transmission & Distribution,Manufacture of gas; distribution of gaseous fuels through mains,Water,Construction (45),Re-processing of secondary construction material into aggregates,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",Retail sale of automotive fuel,Retail & Wholesale trade,Leisure Services,Transport,KIBS,Real estate activities (70),Renting of machinery and equipment without operator and of personal and household goods (71),Research and development (73),Public administration and defence; compulsory social security (75),Education (80),Health and social work (85),Incineration of Waste,Biogas & Composting,Waste water,Landfill of Waste,Other Services,Consumption,Final consumption expenditure by government,GFCF,Exports: Total (fob),Consumption,Final consumption expenditure by government,GFCF,Exports: Total (fob),,,,
RoW,Sector,Re-processing of secondary construction material into aggregates,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,,0.000,0.000,0.000,
RoW,Sector,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.009,0.018,0.005,0.006,0.010,0.012,0.010,0.010,0.007,0.017,0.017,0.030,0.021,0.011,0.005,0.011,0.016,0.005,0.008,0.010,0.013,0.011,0.016,0.019,0.007,0.010,0.007,0.008,0.008,0.007,0.006,0.004,0.011,0.006,0.007,0.005,0.016,0.012,0.004,0.005,0.026,0.006,0.002,0.024,0.007,0.004,0.004,0.005,0.016,0.027,0.007,0.010,0.009,0.000,0.000,0.000,,0.022,0.001,0.004,,0.126,0.011,0.021,
RoW,Sector,Retail sale of automotive fuel,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,,0.004,0.000,0.001,
RoW,Sector,Retail & Wholesale trade,0.001,0.001,0.001,0.001,0.002,0.001,0.003,0.002,0.001,0.002,0.001,0.001,0.002,0.002,0.003,0.010,0.002,0.002,0.004,0.002,0.002,0.002,0.002,0.001,0.001,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.000,0.002,0.001,0.001,0.000,0.000,0.001,0.004,0.001,0.001,0.001,0.000,0.001,0.001,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.025,0.043,0.027,0.018,0.017,0.037,0.058,0.048,0.055,0.041,0.052,0.061,0.096,0.065,0.047,0.020,0.039,0.071,0.032,0.035,0.042,0.098,0.050,0.058,0.081,0.037,0.033,0.037,0.038,0.041,0.031,0.019,0.015,0.034,0.022,0.031,0.006,0.026,0.034,0.042,0.024,0.020,0.017,0.008,0.073,0.035,0.013,0.017,0.027,0.062,0.037,0.026,0.032,0.025,0.001,0.000,0.001,,0.032,0.005,0.022,,0.477,0.020,0.059,
RoW,Sector,Leisure Services,0.001,0.000,0.000,0.001,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.001,0.000,0.002,0.001,0.001,0.000,0.004,0.001,0.001,0.000,0.001,0.001,0.000,0.001,0.000,0.001,0.001,0.000,0.001,0.001,0.001,0.001,0.000,0.002,0.002,0.001,0.001,0.001,0.004,0.004,0.004,0.001,0.002,0.003,0.005,0.002,0.003,0.001,0.001,0.002,0.002,0.008,0.003,0.002,0.003,0.002,0.006,0.012,0.005,0.008,0.010,0.007,0.009,0.002,0.010,0.004,0.009,0.003,0.003,0.002,0.007,0.006,0.009,0.003,0.011,0.010,0.003,0.005,0.002,0.007,0.009,0.039,0.008,0.005,0.005,0.007,0.004,0.009,0.004,0.004,0.011,0.006,0.030,0.013,0.026,0.007,0.012,0.012,0.026,0.017,0.020,0.009,0.013,0.009,0.008,0.050,0.011,0.000,0.000,,0.107,0.009,0.002,,0.238,0.051,0.067,
RoW,Sector,Transport,0.001,0.001,0.001,0.003,0.005,0.008,0.004,0.004,0.001,0.002,0.005,0.004,0.008,0.015,0.003,0.005,0.006,0.002,0.003,0.003,0.002,0.002,0.004,0.007,0.008,0.004,0.004,0.002,0.003,0.002,0.007,0.001,0.001,0.006,0.001,0.002,0.001,0.002,0.003,0.008,0.001,0.030,0.001,0.000,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.018,0.022,0.025,0.013,0.025,0.056,0.034,0.028,0.038,0.022,0.047,0.036,0.088,0.107,0.030,0.015,0.023,0.034,0.020,0.019,0.028,0.036,0.039,0.061,0.162,0.031,0.030,0.021,0.026,0.121,0.020,0.016,0.014,0.029,0.018,0.039,0.004,0.017,0.154,0.041,0.021,0.149,0.022,0.004,0.024,0.033,0.033,0.026,0.018,0.076,0.054,0.017,0.032,0.024,0.008,0.001,0.000,,0.050,0.011,0.006,,0.541,0.026,0.071,
RoW,Sector,KIBS,0.003,0.003,0.002,0.003,0.004,0.005,0.007,0.006,0.009,0.004,0.003,0.003,0.005,0.008,0.011,0.002,0.006,0.011,0.010,0.004,0.003,0.004,0.004,0.004,0.004,0.003,0.004,0.004,0.003,0.002,0.004,0.004,0.004,0.004,0.004,0.003,0.001,0.003,0.013,0.005,0.003,0.004,0.021,0.005,0.010,0.012,0.005,0.002,0.003,0.013,0.011,0.009,0.007,0.005,0.081,0.078,0.017,0.028,0.050,0.053,0.036,0.058,0.049,0.046,0.050,0.037,0.048,0.085,0.073,0.024,0.038,0.080,0.052,0.040,0.045,0.070,0.046,0.059,0.050,0.036,0.034,0.059,0.051,0.049,0.082,0.072,0.036,0.049,0.043,0.074,0.012,0.027,0.105,0.050,0.066,0.062,0.234,0.104,0.180,0.123,0.112,0.057,0.152,0.115,0.134,0.108,0.044,0.136,0.003,0.000,0.006,,0.104,0.012,0.077,,1.603,0.065,0.198,
RoW,Sector,Real estate activities (70),0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.002,0.001,0.001,0.000,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.002,0.003,0.002,0.001,0.000,0.004,0.002,0.001,0.002,0.001,0.004,0.003,0.003,0.002,0.002,0.006,0.000,0.001,0.001,0.002,0.002,0.002,0.005,0.002,0.002,0.002,0.001,0.001,0.002,0.003,0.001,0.001,0.002,0.002,0.003,0.002,0.004,0.000,0.002,0.020,0.009,0.007,0.007,0.015,0.030,0.017,0.013,0.012,0.023,0.040,0.007,0.017,0.005,0.003,0.041,0.002,0.000,0.000,,0.132,0.001,0.023,,0.165,0.064,0.073,
RoW,Sector,Renting of machinery and equipment without operator and of personal and household goods (71),0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.001,0.002,0.000,0.008,0.004,0.002,0.004,0.002,0.003,0.004,0.003,0.002,0.006,0.008,0.002,0.003,0.002,0.003,0.003,0.003,0.003,0.006,0.006,0.010,0.002,0.004,0.006,0.004,0.013,0.004,0.003,0.002,0.002,0.002,0.009,0.011,0.003,0.005,0.002,0.005,0.010,0.010,0.001,0.025,0.008,0.003,0.004,0.011,0.011,0.021,0.007,0.004,0.006,0.000,0.000,0.000,,0.009,0.000,0.000,,0.099,0.004,0.012,
RoW,Sector,Research and development (73),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.003,0.003,0.028,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.001,0.002,0.002,0.001,0.001,0.000,0.003,0.002,0.001,0.002,0.006,0.001,0.014,0.003,0.004,0.000,0.003,0.002,0.002,0.002,0.005,0.010,0.002,0.001,0.004,0.002,0.004,0.002,0.001,0.001,0.001,0.000,0.001,0.001,0.000,0.001,0.002,0.000,0.001,0.041,0.012,0.003,0.001,0.001,0.004,0.002,0.001,0.001,0.000,0.001,0.000,,0.002,0.022,0.002,,0.066,0.004,0.010,
RoW,Sector,Public administration and defence; compulsory social security (75),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.003,0.001,0.001,0.002,0.002,0.003,0.002,0.001,0.004,0.001,0.002,0.003,0.003,0.001,0.012,0.002,0.003,0.002,0.003,0.002,0.001,0.003,0.000,0.002,0.001,0.002,0.002,0.002,0.003,0.005,0.005,0.052,0.006,0.003,0.000,0.001,0.002,0.001,0.003,0.005,0.006,0.019,0.004,0.005,0.015,0.011,0.012,0.013,0.008,0.002,0.004,0.009,0.000,0.002,0.000,,0.052,0.567,0.001,,0.092,0.096,0.096,
RoW,Sector,Education (80),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.003,0.000,0.001,0.001,0.001,0.000,0.000,0.002,0.006,0.009,0.001,0.002,0.002,0.001,0.001,0.003,0.000,0.001,0.000,,0.030,0.142,0.000,,0.018,0.032,0.030,
RoW,Sector,Health and social work (85),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.001,0.000,0.000,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.010,0.001,0.023,0.001,0.000,0.004,0.000,0.001,0.000,0.002,0.000,,0.086,0.199,0.001,,0.035,0.064,0.062,
RoW,Sector,Incineration of Waste,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.001,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.002,0.004,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.001,0.000,0.001,0.002,0.001,0.002,0.013,0.017,0.001,0.003,0.002,0.000,0.000,0.000,,0.001,0.001,0.000,,0.012,0.000,0.001,
RoW,Sector,Biogas & Composting,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.000,0.000,0.000,0.002,0.001,0.000,0.000,0.001,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.000,0.001,0.010,0.027,0.002,0.006,0.000,0.000,0.000,0.000,,0.000,0.001,0.000,,0.007,0.000,0.001,
RoW,Sector,Waste water,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.005,0.000,0.000,0.002,0.001,0.001,0.000,0.000,0.003,0.000,0.001,0.003,0.002,0.000,0.000,0.001,0.002,0.001,0.001,0.000,0.003,0.001,0.001,0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.012,0.000,0.000,0.021,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.001,0.001,0.002,0.001,0.001,0.003,0.007,0.018,0.011,0.001,0.000,0.000,0.000,,0.003,0.008,0.000,,0.015,0.002,0.003,
RoW,Sector,Landfill of Waste,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.000,0.002,0.004,0.000,0.000,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.003,0.013,0.007,0.001,0.000,0.001,0.007,0.002,0.000,0.001,0.010,0.002,0.003,0.001,0.001,0.004,0.001,0.001,0.001,0.006,0.013,0.003,0.004,0.010,0.001,0.000,0.002,0.000,0.001,0.004,0.004,0.001,0.001,0.001,0.003,0.003,0.003,0.002,0.012,0.040,0.016,0.045,0.001,0.000,0.000,0.000,,0.004,0.002,0.000,,0.036,0.002,0.005,
RoW,Sector,Other Services,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.001,0.003,0.002,0.002,0.002,0.001,0.002,0.003,0.002,0.003,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0.002,0.002,0.001,0.000,0.005,0.003,0.006,0.002,0.002,0.002,0.002,0.002,0.007,0.005,0.001,0.002,0.003,0.002,0.000,0.001,0.003,0.001,0.004,0.006,0.004,0.006,0.004,0.012,0.003,0.006,0.008,0.010,0.003,0.007,0.002,0.022,0.000,0.000,0.000,,0.042,0.003,0.001,,0.059,0.019,0.023,
-,Factor of production,Indirect Taxes,0.001,0.012,0.015,0.045,0.006,0.034,0.032,0.035,0.067,0.038,0.021,0.028,0.036,0.028,0.022,0.059,0.043,0.023,0.025,0.028,0.024,0.021,0.028,0.027,0.019,0.021,0.020,0.019,0.024,0.029,0.040,0.033,0.051,0.045,0.043,0.023,0.014,0.048,0.065,0.038,0.046,0.041,0.029,0.063,0.029,0.011,0.025,0.015,0.025,0.027,0.031,0.034,0.032,0.020,0.042,0.023,0.067,0.011,0.114,0.053,0.034,0.054,0.121,0.059,0.053,0.035,0.056,0.028,0.048,0.106,0.035,0.030,0.045,0.034,0.055,0.034,0.054,0.049,0.028,0.060,0.018,0.045,0.049,-0.024,0.064,0.043,0.095,0.042,0.056,0.047,0.010,0.075,0.094,0.059,0.089,0.060,0.036,0.100,0.040,0.019,0.018,0.025,0.029,0.038,0.026,0.026,0.030,0.032,1.000,1.000,1.000,,1.000,1.000,1.000,,1.000,1.000,1.000,TOTALS
-,Factor of production,Wages,0.121,0.081,0.145,0.188,0.229,0.183,0.165,0.130,0.156,0.235,0.187,0.223,0.148,0.122,0.210,0.031,0.200,0.161,0.078,0.190,0.171,0.240,0.239,0.199,0.195,0.126,0.121,0.231,0.277,0.202,0.105,0.077,0.060,0.186,0.159,0.236,0.484,0.498,0.219,0.400,0.356,0.282,0.300,0.041,0.089,0.426,0.496,0.690,0.521,0.205,0.213,0.211,0.248,0.490,0.316,0.226,0.342,0.643,0.113,0.188,0.089,0.114,0.066,0.151,0.142,0.248,0.105,0.287,0.194,0.037,0.085,0.191,0.072,0.196,0.105,0.292,0.141,0.144,0.156,0.083,0.089,0.165,0.168,0.252,0.184,0.112,0.099,0.148,0.127,0.237,0.407,0.570,0.168,0.413,0.385,0.301,0.323,0.044,0.102,0.467,0.475,0.605,0.292,0.310,0.244,0.337,0.377,0.380,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,
-,Factor of production,Operating surplus: Consumption of fixed capital,0.135,0.118,0.066,0.084,0.103,0.084,0.029,0.044,0.068,0.041,0.045,0.041,0.062,0.089,0.044,0.018,0.056,0.058,0.028,0.042,0.064,0.078,0.059,0.052,0.051,0.041,0.048,0.043,0.046,0.028,0.133,0.334,0.163,0.054,0.167,0.045,0.039,0.076,0.025,0.062,0.087,0.104,0.065,0.280,0.374,0.072,0.144,0.080,0.064,0.180,0.156,0.146,0.118,0.039,0.071,0.059,0.033,0.034,0.092,0.092,0.017,0.026,0.145,0.036,0.032,0.037,0.047,0.052,0.051,0.040,0.044,0.076,0.051,0.044,0.049,0.062,0.048,0.053,0.029,0.051,0.076,0.051,0.049,0.091,0.165,0.441,0.117,0.137,0.191,0.060,0.060,0.105,0.037,0.081,0.082,0.084,0.090,0.253,0.312,0.048,0.116,0.080,0.059,0.079,0.124,0.154,0.175,0.046,-,-,-,,-,-,-,,,,,
-,Factor of production,Operation Surplus,0.348,0.181,0.310,0.207,0.200,0.157,0.065,0.099,0.214,0.066,0.072,0.085,0.053,0.070,0.108,0.032,0.132,0.178,0.111,0.065,0.082,0.116,0.070,0.062,0.056,0.023,0.038,0.076,0.099,0.101,0.124,0.164,0.152,0.119,0.108,0.099,0.309,0.130,0.260,0.201,0.197,0.079,0.141,0.404,0.080,0.013,0.007,0.028,0.117,0.053,0.063,0.080,0.093,0.153,0.213,0.117,0.252,0.112,0.338,0.162,0.055,0.074,0.159,0.045,0.072,0.108,0.046,0.052,0.081,0.037,0.052,0.100,0.073,0.038,0.095,0.082,0.064,0.068,0.042,0.048,0.099,0.047,0.119,0.099,0.033,0.082,0.062,0.107,0.176,0.050,0.455,0.098,0.197,0.245,0.127,0.086,0.139,0.332,0.088,-0.007,0.005,0.011,0.089,0.009,0.068,0.065,0.078,0.063,-,-,-,,-,-,-,,,,,
-,Satellite account,Employment male,0.018,0.012,0.011,0.023,0.006,0.003,0.003,0.002,0.002,0.003,0.006,0.006,0.005,0.003,0.003,0.000,0.002,0.002,0.006,0.003,0.004,0.005,0.005,0.004,0.004,0.003,0.003,0.003,0.009,0.004,0.002,0.001,0.001,0.002,0.004,0.008,0.013,0.008,0.010,0.011,0.005,0.005,0.004,0.001,0.001,0.009,0.007,0.006,0.004,0.005,0.005,0.006,0.007,0.005,0.216,0.150,0.138,0.386,0.016,0.030,0.008,0.009,0.004,0.015,0.020,0.015,0.015,0.004,0.015,0.005,0.009,0.002,0.006,0.025,0.012,0.012,0.020,0.018,0.003,0.013,0.003,0.016,0.020,0.026,0.013,0.011,0.007,0.019,0.019,0.024,0.014,0.022,0.015,0.031,0.016,0.023,0.008,0.001,0.002,0.024,0.017,0.024,0.008,0.006,0.006,0.046,0.009,0.018,,,,,,,,,,,,
-,Satellite account,Employment female,0.011,0.007,0.006,0.012,0.001,0.000,0.003,0.002,0.002,0.007,0.001,0.001,0.002,0.001,0.002,0.000,0.001,0.001,0.003,0.001,0.001,0.002,0.002,0.001,0.001,0.000,0.000,0.001,0.004,0.001,0.000,0.000,0.000,0.001,0.001,0.001,0.002,0.008,0.009,0.011,0.006,0.001,0.004,0.001,0.001,0.009,0.006,0.014,0.014,0.001,0.001,0.002,0.002,0.014,0.113,0.077,0.076,0.161,0.005,0.011,0.004,0.005,0.008,0.012,0.004,0.002,0.004,0.001,0.006,0.000,0.003,0.000,0.002,0.010,0.003,0.002,0.004,0.004,0.001,0.001,0.000,0.005,0.006,0.012,0.002,0.002,0.001,0.003,0.003,0.003,0.002,0.018,0.013,0.027,0.015,0.004,0.005,0.001,0.002,0.015,0.008,0.028,0.015,0.001,0.001,0.004,0.003,0.022,,,,,,,,,,,,
